recNum,V,k,L,phi_L,M,phi_M
2004,105.4,0.307,0.1224,256,0.0370,56
2005,105.4,0.305,0.1224,252,0.0283,58
2006,105.4,0.300,0.1260,258,0.0324,60
2007,105.4,0.280,0.1154,253,0.0310,61
2009,105.4,0.274,0.1214,256,0.0354,64
2010,105.4,0.261,0.1127,257,0.0338,60
2011,105.4,0.253,0.1025,255,0.0318,61
2014,105.4,0.235,0.0880,254,0.0203,60
2015,105.4,0.228,0.0798,254,0.0242,64
2016,105.4,0.218,0.0783,258,0.0256,68
2017,105.4,0.208,0.0708,258,0.0228,68
2019,105.4,0.201,0.0671,260,0.0208,64
2020,105.4,0.189,0.0701,262,0.0212,65
2021,105.4,0.182,0.0656,262,0.0201,64
2022,105.4,0.171,0.0587,259,0.0196,65
2024,105.4,0.160,0.0553,261,0.0181,68
2025,105.4,0.153,0.0514,266,0.0181,73
2026,105.4,0.143,0.0493,267,0.0161,74
2027,105.4,0.133,0.0471,265,0.0150,74
2028,105.4,0.121,0.0424,263,0.0142,68
2029,105.4,0.114,0.0397,261,0.0126,70
2030,105.4,0.104,0.0397,261,0.0132,68
2031,105.4,0.094,0.0354,261,0.0118,73
2035,105.4,0.088,0.0357,264,0.0113,72
2036,105.4,0.082,0.0323,264,0.0105,73
2037,105.4,0.071,0.0289,267,0.0091,73
2042, 93.2,0.363,0.1340,262,0.0396,64
2043, 93.2,0.350,0.1253,260,0.0364,62
2044, 93.2,0.340,0.1295,261,0.0342,64
2046, 93.2,0.324,0.1253,260,0.0342,56
2048, 93.2,0.313,0.1077,255,0.0345,57
2049, 93.2,0.298,0.1160,257,0.0328,63
2050, 93.2,0.294,0.1133,258,0.0295,62
2051, 93.2,0.279,0.1078,255,0.0290,62
2053, 93.2,0.267,0.1040,254,0.0299,64
2054, 93.2,0.258,0.1040,254,0.0285,63
2055, 93.2,0.246,0.1031,257,0.0258,65
2056, 93.2,0.239,0.0952,255,0.0262,61
2058, 93.2,0.224,0.0979,255,0.0267,64
2059, 93.2,0.216,0.0946,256,0.0252,66
2060, 93.2,0.203,0.0899,254,0.0238,64
2061, 93.2,0.197,0.0850,261,0.0239,67
2063, 93.2,0.186,0.0629,265,0.0224,70
2064, 93.2,0.173,0.0610,262,0.0197,66
2076,93.2,0.081,0.0307,264,0.0105,68
2077,93.2,0.072,0.0286,272,0.0098,76
2102,81.0,0.274,0.1018,254,0.0254,59
2104,81.0,0.266,0.1050,251,0.0261,59
2105,81.0,0.255,0.1069,256,0.0258,63
2106,81.0,0.250,0.1029,260,0.0254,66
2107,81.0,0.228,0.0942,261,0.0245,64
2110,81.0,0.213,0.0760,257,0.0242,66
2113,81.0,0.174,0.0561,258,0.0191,66
2115,81.0,0.159,0.0578,259,0.0198,65
2116,81.0,0.152,0.0534,262,0.0179,62
2117,81.0,0.133,0.0455,262,0.0172,66
2118,81.0,0.126,0.0437,259,0.0146,70
2120,81.0,0.111,0.0430,264,0.0131,76
2121,81.0,0.104,0.0401,264,0.0123,70
2122,81.0,0.092,0.0367,265,0.0112,69
2123,81.0,0.079,0.0322,261,0.0103,73
2124,81.0,0.069,0.0299,261,0.0088,69
2038,105.4,0.062,0.0241,271,0.0081,75
2039,105.4,0.055,0.0202,272,0.0074,74
2094,81.0,0.370,0.140,263,0.0414,54
2095,81.0,0.342,0.140,254,0.0388,58
2096,81.0,0.332,0.132,254,0.0402,58
2097,81.0,0.324,0.121,255,0.0371,58
2099,81.0,0.314,0.132,255,0.0417,60
2100,81.0,0.300,0.123,255,0.0385,58
2101,81.0,0.284,0.112,253,0.0321,59
