recNum,V,k,L,phi_L,M,phi_M
3457,103.0,0.166,0.119,268,0.0316,66
3458,103.0,0.155,0.114,269,0.0310,70
3459,103.0,0.143,0.105,270,0.0295,68
3460,103.1,0.134,0.102,271,0.0299,70
3462,103.2,0.124,0.0914,272,0.0253,68
3463,103.2,0.114,0.0849,271,0.0243,69
3464,103.2,0.105,0.0829,271,0.0232,69
3465,103.2,0.099,0.0746,272,0.0214,73
3466,103.2,0.086,0.0643,272,0.0190,73
3477,91.7,0.179,0.124,272,0.0358,65
3478,91.7,0.172,0.124,271,0.0351,70
3479,91.7,0.155,0.117,270,0.0320,67
3480,91.7,0.153,0.111,269,0.0317,67
3482,91.7,0.137,0.0966,272,0.0281,69
3483,91.7,0.128,0.0919,274,0.0258,71
3484,91.7,0.120,0.0848,274,0.0253,73
3485,91.7,0.109,0.0813,275,0.0238,70
3486,91.7,0.097,0.0742,275,0.0211,71
3488,80.2,0.208,0.149,277,0.0402,64
3489,80.2,0.200,0.142,276,0.0388,66
3490,80.2,0.183,0.135,272,0.0366,65
3491,80.2,0.169,0.121,272,0.0339,69
3493,103.2,0.210,0.151,273,0.0402,64
3495,103.2,0.199,0.143,273,0.0392,64
3497,91.7,0.242,0.170,275,0.0453,62
3498,91.7,0.226,0.163,278,0.0418,64
3500,80.2,0.273,0.191,282,0.0505,63
3501,80.2,0.264,0.177,281,0.0486,59
3659,91.4,0.166,0.136,272,0.0348,79
3660,91.4,0.162,0.134,270,0.0336,77
3661,91.4,0.153,0.124,267,0.0325,75
3662,91.4,0.144,0.124,272,0.0310,77
3665,91.5,0.216,0.167,267,0.0434,69
3666,91.5,0.208,0.165,267,0.0408,72
3667,91.5,0.199,0.157,271,0.0408,81
3668,91.5,0.191,0.148,273,0.0382,83
3672,91.6,0.259,0.202,266,0.0507,71
3673,91.6,0.248,0.192,273,0.0483,75
3674,91.6,0.242,0.186,271,0.0488,69
3675,91.6,0.229,0.178,269,0.0467,72
3678,91.7,0.299,0.230,273,0.0566,74
3679,91.7,0.280,0.215,263,0.0546,70
3680,91.7,0.270,0.207,266,0.0521,66
3722,92.0,0.309,0.228,262,0.0625,51
3723,92.0,0.298,0.216,262,0.0566,61
