recNum,V,k,L,phi_L,M,phi_M
3659,91.4,0.166,0.136,272,0.0348,79
3660,91.4,0.162,0.134,270,0.0336,77
3661,91.4,0.153,0.124,267,0.0325,75
3662,91.4,0.144,0.124,272,0.0310,77
3665,91.5,0.216,0.167,267,0.0434,69
3666,91.5,0.208,0.165,267,0.0408,72
3667,91.5,0.199,0.157,271,0.0408,81
3668,91.5,0.191,0.148,273,0.0382,83
3672,91.6,0.259,0.202,266,0.0507,71
3673,91.6,0.248,0.192,273,0.0483,75
3674,91.6,0.242,0.186,271,0.0488,69
3675,91.6,0.229,0.178,269,0.0467,72
3678,91.7,0.299,0.230,273,0.0566,74
3679,91.7,0.280,0.215,263,0.0546,70
3680,91.7,0.270,0.207,266,0.0521,66
3722,92.0,0.309,0.228,262,0.0625,51
3723,92.0,0.298,0.216,262,0.0566,61
